OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;I alt;Fraskilt;2008K1;428864
Hele landet;I alt;0 år;Fraskilt;2008K1;0
Hele landet;I alt;1 år;Fraskilt;2008K1;0
Hele landet;I alt;2 år;Fraskilt;2008K1;0
Hele landet;I alt;3 år;Fraskilt;2008K1;0
Hele landet;I alt;4 år;Fraskilt;2008K1;0
Hele landet;I alt;5 år;Fraskilt;2008K1;0
Hele landet;I alt;6 år;Fraskilt;2008K1;0
Hele landet;I alt;7 år;Fraskilt;2008K1;0
Hele landet;I alt;8 år;Fraskilt;2008K1;0
Hele landet;I alt;9 år;Fraskilt;2008K1;0
Hele landet;I alt;10 år;Fraskilt;2008K1;0
Hele landet;I alt;11 år;Fraskilt;2008K1;0
Hele landet;I alt;12 år;Fraskilt;2008K1;0
Hele landet;I alt;13 år;Fraskilt;2008K1;0
Hele landet;I alt;14 år;Fraskilt;2008K1;0
Hele landet;I alt;15 år;Fraskilt;2008K1;0
Hele landet;I alt;16 år;Fraskilt;2008K1;0
Hele landet;I alt;17 år;Fraskilt;2008K1;0
Hele landet;I alt;18 år;Fraskilt;2008K1;1
Hele landet;I alt;19 år;Fraskilt;2008K1;4
Hele landet;I alt;20 år;Fraskilt;2008K1;13
Hele landet;I alt;21 år;Fraskilt;2008K1;35
Hele landet;I alt;22 år;Fraskilt;2008K1;80
Hele landet;I alt;23 år;Fraskilt;2008K1;125
Hele landet;I alt;24 år;Fraskilt;2008K1;230
Hele landet;I alt;25 år;Fraskilt;2008K1;418
Hele landet;I alt;26 år;Fraskilt;2008K1;639
Hele landet;I alt;27 år;Fraskilt;2008K1;940
Hele landet;I alt;28 år;Fraskilt;2008K1;1328
Hele landet;I alt;29 år;Fraskilt;2008K1;1751
Hele landet;I alt;30 år;Fraskilt;2008K1;2144
Hele landet;I alt;31 år;Fraskilt;2008K1;2738
Hele landet;I alt;32 år;Fraskilt;2008K1;3502
Hele landet;I alt;33 år;Fraskilt;2008K1;4062
Hele landet;I alt;34 år;Fraskilt;2008K1;4820
Hele landet;I alt;35 år;Fraskilt;2008K1;5666
Hele landet;I alt;36 år;Fraskilt;2008K1;6299
Hele landet;I alt;37 år;Fraskilt;2008K1;6617
Hele landet;I alt;38 år;Fraskilt;2008K1;7284
Hele landet;I alt;39 år;Fraskilt;2008K1;8326
Hele landet;I alt;40 år;Fraskilt;2008K1;9339
Hele landet;I alt;41 år;Fraskilt;2008K1;10851
Hele landet;I alt;42 år;Fraskilt;2008K1;10933
Hele landet;I alt;43 år;Fraskilt;2008K1;11192
Hele landet;I alt;44 år;Fraskilt;2008K1;11111
