OMRÅDE;KØN;ALDER;TID;CIVILSTAND;INDHOLD
Hele landet;I alt;I alt;2020K4;Fraskilt;552419
Hele landet;I alt;0 år;2020K4;Fraskilt;0
Hele landet;I alt;1 år;2020K4;Fraskilt;0
Hele landet;I alt;2 år;2020K4;Fraskilt;0
Hele landet;I alt;3 år;2020K4;Fraskilt;0
Hele landet;I alt;4 år;2020K4;Fraskilt;0
Hele landet;I alt;5 år;2020K4;Fraskilt;0
Hele landet;I alt;6 år;2020K4;Fraskilt;0
Hele landet;I alt;7 år;2020K4;Fraskilt;0
Hele landet;I alt;8 år;2020K4;Fraskilt;0
Hele landet;I alt;9 år;2020K4;Fraskilt;0
Hele landet;I alt;10 år;2020K4;Fraskilt;0
Hele landet;I alt;11 år;2020K4;Fraskilt;0
Hele landet;I alt;12 år;2020K4;Fraskilt;0
Hele landet;I alt;13 år;2020K4;Fraskilt;0
Hele landet;I alt;14 år;2020K4;Fraskilt;0
Hele landet;I alt;15 år;2020K4;Fraskilt;0
Hele landet;I alt;16 år;2020K4;Fraskilt;0
Hele landet;I alt;17 år;2020K4;Fraskilt;0
Hele landet;I alt;18 år;2020K4;Fraskilt;0
Hele landet;I alt;19 år;2020K4;Fraskilt;8
Hele landet;I alt;20 år;2020K4;Fraskilt;17
Hele landet;I alt;21 år;2020K4;Fraskilt;36
Hele landet;I alt;22 år;2020K4;Fraskilt;84
Hele landet;I alt;23 år;2020K4;Fraskilt;158
Hele landet;I alt;24 år;2020K4;Fraskilt;294
Hele landet;I alt;25 år;2020K4;Fraskilt;393
Hele landet;I alt;26 år;2020K4;Fraskilt;603
Hele landet;I alt;27 år;2020K4;Fraskilt;835
Hele landet;I alt;28 år;2020K4;Fraskilt;1116
Hele landet;I alt;29 år;2020K4;Fraskilt;1455
Hele landet;I alt;30 år;2020K4;Fraskilt;1797
Hele landet;I alt;31 år;2020K4;Fraskilt;2207
Hele landet;I alt;32 år;2020K4;Fraskilt;2649
Hele landet;I alt;33 år;2020K4;Fraskilt;3161
Hele landet;I alt;34 år;2020K4;Fraskilt;3509
Hele landet;I alt;35 år;2020K4;Fraskilt;4038
Hele landet;I alt;36 år;2020K4;Fraskilt;4550
Hele landet;I alt;37 år;2020K4;Fraskilt;5014
Hele landet;I alt;38 år;2020K4;Fraskilt;5898
Hele landet;I alt;39 år;2020K4;Fraskilt;6355
Hele landet;I alt;40 år;2020K4;Fraskilt;7483
Hele landet;I alt;41 år;2020K4;Fraskilt;8297
Hele landet;I alt;42 år;2020K4;Fraskilt;9503
Hele landet;I alt;43 år;2020K4;Fraskilt;9986
Hele landet;I alt;44 år;2020K4;Fraskilt;11564
Hele landet;I alt;45 år;2020K4;Fraskilt;12758
Hele landet;I alt;46 år;2020K4;Fraskilt;13140
Hele landet;I alt;47 år;2020K4;Fraskilt;13922
Hele landet;I alt;48 år;2020K4;Fraskilt;15120
Hele landet;I alt;49 år;2020K4;Fraskilt;14872
Hele landet;I alt;50 år;2020K4;Fraskilt;14741
Hele landet;I alt;51 år;2020K4;Fraskilt;14993
Hele landet;I alt;52 år;2020K4;Fraskilt;16184
Hele landet;I alt;53 år;2020K4;Fraskilt;17654
Hele landet;I alt;54 år;2020K4;Fraskilt;18113
Hele landet;I alt;55 år;2020K4;Fraskilt;17595
Hele landet;I alt;56 år;2020K4;Fraskilt;16727
Hele landet;I alt;57 år;2020K4;Fraskilt;15988
Hele landet;I alt;58 år;2020K4;Fraskilt;15202
Hele landet;I alt;59 år;2020K4;Fraskilt;14197
Hele landet;I alt;60 år;2020K4;Fraskilt;13795
Hele landet;I alt;61 år;2020K4;Fraskilt;12906
Hele landet;I alt;62 år;2020K4;Fraskilt;12424
Hele landet;I alt;63 år;2020K4;Fraskilt;12029
Hele landet;I alt;64 år;2020K4;Fraskilt;11699
Hele landet;I alt;65 år;2020K4;Fraskilt;11477
Hele landet;I alt;66 år;2020K4;Fraskilt;11021
Hele landet;I alt;67 år;2020K4;Fraskilt;10968
Hele landet;I alt;68 år;2020K4;Fraskilt;10160
Hele landet;I alt;69 år;2020K4;Fraskilt;10052
Hele landet;I alt;70 år;2020K4;Fraskilt;9988
Hele landet;I alt;71 år;2020K4;Fraskilt;9793
Hele landet;I alt;72 år;2020K4;Fraskilt;9775
Hele landet;I alt;73 år;2020K4;Fraskilt;10153
Hele landet;I alt;74 år;2020K4;Fraskilt;9867
Hele landet;I alt;75 år;2020K4;Fraskilt;9026
Hele landet;I alt;76 år;2020K4;Fraskilt;7982
Hele landet;I alt;77 år;2020K4;Fraskilt;7035
Hele landet;I alt;78 år;2020K4;Fraskilt;6266
Hele landet;I alt;79 år;2020K4;Fraskilt;5239
Hele landet;I alt;80 år;2020K4;Fraskilt;4707
Hele landet;I alt;81 år;2020K4;Fraskilt;4159
Hele landet;I alt;82 år;2020K4;Fraskilt;3607
Hele landet;I alt;83 år;2020K4;Fraskilt;3045
Hele landet;I alt;84 år;2020K4;Fraskilt;2454
Hele landet;I alt;85 år;2020K4;Fraskilt;2195
Hele landet;I alt;86 år;2020K4;Fraskilt;1775
Hele landet;I alt;87 år;2020K4;Fraskilt;1445
Hele landet;I alt;88 år;2020K4;Fraskilt;1147
Hele landet;I alt;89 år;2020K4;Fraskilt;938
Hele landet;I alt;90 år;2020K4;Fraskilt;704
Hele landet;I alt;91 år;2020K4;Fraskilt;606
Hele landet;I alt;92 år;2020K4;Fraskilt;466
Hele landet;I alt;93 år;2020K4;Fraskilt;372
Hele landet;I alt;94 år;2020K4;Fraskilt;287
Hele landet;I alt;95 år;2020K4;Fraskilt;216
Hele landet;I alt;96 år;2020K4;Fraskilt;150
Hele landet;I alt;97 år;2020K4;Fraskilt;99
Hele landet;I alt;98 år;2020K4;Fraskilt;66
Hele landet;I alt;99 år;2020K4;Fraskilt;43
Hele landet;I alt;100 år;2020K4;Fraskilt;29
Hele landet;I alt;101 år;2020K4;Fraskilt;19
Hele landet;I alt;102 år;2020K4;Fraskilt;7
Hele landet;I alt;103 år;2020K4;Fraskilt;5
Hele landet;I alt;104 år;2020K4;Fraskilt;5
Hele landet;I alt;105 år;2020K4;Fraskilt;1
Hele landet;I alt;106 år;2020K4;Fraskilt;1
Hele landet;I alt;107 år;2020K4;Fraskilt;0
Hele landet;I alt;108 år;2020K4;Fraskilt;0
Hele landet;I alt;109 år;2020K4;Fraskilt;0
Hele landet;I alt;110 år;2020K4;Fraskilt;0
Hele landet;I alt;111 år;2020K4;Fraskilt;0
Hele landet;I alt;112 år;2020K4;Fraskilt;0
Hele landet;I alt;113 år;2020K4;Fraskilt;0
Hele landet;I alt;114 år;2020K4;Fraskilt;0
Hele landet;I alt;115 år;2020K4;Fraskilt;0
Hele landet;I alt;116 år;2020K4;Fraskilt;0
Hele landet;I alt;117 år;2020K4;Fraskilt;0
Hele landet;I alt;118 år;2020K4;Fraskilt;0
Hele landet;I alt;119 år;2020K4;Fraskilt;0
Hele landet;I alt;120 år;2020K4;Fraskilt;0
