KØN;OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
I alt;Hele landet;0 år;2020K4;Gift/separeret;0
I alt;Hele landet;1 år;2020K4;Gift/separeret;0
I alt;Hele landet;2 år;2020K4;Gift/separeret;0
I alt;Hele landet;3 år;2020K4;Gift/separeret;0
I alt;Hele landet;4 år;2020K4;Gift/separeret;0
I alt;Hele landet;5 år;2020K4;Gift/separeret;0
I alt;Hele landet;6 år;2020K4;Gift/separeret;0
I alt;Hele landet;7 år;2020K4;Gift/separeret;0
I alt;Hele landet;8 år;2020K4;Gift/separeret;0
I alt;Hele landet;9 år;2020K4;Gift/separeret;0
I alt;Hele landet;10 år;2020K4;Gift/separeret;0
I alt;Hele landet;11 år;2020K4;Gift/separeret;0
I alt;Hele landet;12 år;2020K4;Gift/separeret;0
I alt;Hele landet;13 år;2020K4;Gift/separeret;0
I alt;Hele landet;14 år;2020K4;Gift/separeret;0
I alt;Hele landet;15 år;2020K4;Gift/separeret;0
I alt;Hele landet;16 år;2020K4;Gift/separeret;0
I alt;Hele landet;17 år;2020K4;Gift/separeret;0
I alt;Hele landet;18 år;2020K4;Gift/separeret;13
I alt;Hele landet;19 år;2020K4;Gift/separeret;74
I alt;Hele landet;20 år;2020K4;Gift/separeret;231
I alt;Hele landet;21 år;2020K4;Gift/separeret;575
I alt;Hele landet;22 år;2020K4;Gift/separeret;1104
I alt;Hele landet;23 år;2020K4;Gift/separeret;1971
I alt;Hele landet;24 år;2020K4;Gift/separeret;3323
I alt;Hele landet;25 år;2020K4;Gift/separeret;5390
I alt;Hele landet;26 år;2020K4;Gift/separeret;7782
I alt;Hele landet;27 år;2020K4;Gift/separeret;11080
I alt;Hele landet;28 år;2020K4;Gift/separeret;14725
I alt;Hele landet;29 år;2020K4;Gift/separeret;18106
I alt;Hele landet;30 år;2020K4;Gift/separeret;22054
I alt;Hele landet;31 år;2020K4;Gift/separeret;24633
I alt;Hele landet;32 år;2020K4;Gift/separeret;27145
I alt;Hele landet;33 år;2020K4;Gift/separeret;28876
I alt;Hele landet;34 år;2020K4;Gift/separeret;30431
I alt;Hele landet;35 år;2020K4;Gift/separeret;31269
I alt;Hele landet;36 år;2020K4;Gift/separeret;31867
I alt;Hele landet;37 år;2020K4;Gift/separeret;32675
I alt;Hele landet;38 år;2020K4;Gift/separeret;33934
I alt;Hele landet;39 år;2020K4;Gift/separeret;35034
I alt;Hele landet;40 år;2020K4;Gift/separeret;37745
I alt;Hele landet;41 år;2020K4;Gift/separeret;38791
I alt;Hele landet;42 år;2020K4;Gift/separeret;40136
I alt;Hele landet;43 år;2020K4;Gift/separeret;39917
I alt;Hele landet;44 år;2020K4;Gift/separeret;42480
I alt;Hele landet;45 år;2020K4;Gift/separeret;44804
I alt;Hele landet;46 år;2020K4;Gift/separeret;44188
I alt;Hele landet;47 år;2020K4;Gift/separeret;44168
I alt;Hele landet;48 år;2020K4;Gift/separeret;46608
I alt;Hele landet;49 år;2020K4;Gift/separeret;45038
I alt;Hele landet;50 år;2020K4;Gift/separeret;43636
I alt;Hele landet;51 år;2020K4;Gift/separeret;43729
I alt;Hele landet;52 år;2020K4;Gift/separeret;45571
I alt;Hele landet;53 år;2020K4;Gift/separeret;49121
I alt;Hele landet;54 år;2020K4;Gift/separeret;51013
I alt;Hele landet;55 år;2020K4;Gift/separeret;49791
I alt;Hele landet;56 år;2020K4;Gift/separeret;48603
I alt;Hele landet;57 år;2020K4;Gift/separeret;47007
I alt;Hele landet;58 år;2020K4;Gift/separeret;45561
I alt;Hele landet;59 år;2020K4;Gift/separeret;44281
I alt;Hele landet;60 år;2020K4;Gift/separeret;44092
I alt;Hele landet;61 år;2020K4;Gift/separeret;43280
I alt;Hele landet;62 år;2020K4;Gift/separeret;42965
I alt;Hele landet;63 år;2020K4;Gift/separeret;42660
I alt;Hele landet;64 år;2020K4;Gift/separeret;42952
I alt;Hele landet;65 år;2020K4;Gift/separeret;41960
