ALDER;KØN;CIVILSTAND;TID;OMRÅDE;INDHOLD
I alt;I alt;Gift/separeret;2008K1;København;128556
I alt;I alt;Gift/separeret;2008K2;København;128289
I alt;I alt;Gift/separeret;2008K3;København;128728
I alt;I alt;Gift/separeret;2008K4;København;130727
I alt;I alt;Gift/separeret;2009K1;København;130995
I alt;I alt;Gift/separeret;2009K2;København;130736
I alt;I alt;Gift/separeret;2009K3;København;131489
I alt;I alt;Gift/separeret;2009K4;København;133014
I alt;I alt;Gift/separeret;2010K1;København;133196
I alt;I alt;Gift/separeret;2010K2;København;132864
I alt;I alt;Gift/separeret;2010K3;København;133650
I alt;I alt;Gift/separeret;2010K4;København;135341
I alt;I alt;Gift/separeret;2011K1;København;135422
I alt;I alt;Gift/separeret;2011K2;København;135002
I alt;I alt;Gift/separeret;2011K3;København;135713
I alt;I alt;Gift/separeret;2011K4;København;136965
I alt;I alt;Gift/separeret;2012K1;København;136827
I alt;I alt;Gift/separeret;2012K2;København;136238
I alt;I alt;Gift/separeret;2012K3;København;136858
I alt;I alt;Gift/separeret;2012K4;København;137880
I alt;I alt;Gift/separeret;2013K1;København;138132
I alt;I alt;Gift/separeret;2013K2;København;137542
I alt;I alt;Gift/separeret;2013K3;København;137917
I alt;I alt;Gift/separeret;2013K4;København;139664
I alt;I alt;Gift/separeret;2014K1;København;138830
I alt;I alt;Gift/separeret;2014K2;København;138186
I alt;I alt;Gift/separeret;2014K3;København;138329
I alt;I alt;Gift/separeret;2014K4;København;139729
I alt;I alt;Gift/separeret;2015K1;København;139613
I alt;I alt;Gift/separeret;2015K2;København;139465
I alt;I alt;Gift/separeret;2015K3;København;139893
I alt;I alt;Gift/separeret;2015K4;København;141141
I alt;I alt;Gift/separeret;2016K1;København;140881
I alt;I alt;Gift/separeret;2016K2;København;140688
I alt;I alt;Gift/separeret;2016K3;København;141427
I alt;I alt;Gift/separeret;2016K4;København;143024
I alt;I alt;Gift/separeret;2017K1;København;143176
I alt;I alt;Gift/separeret;2017K2;København;142783
I alt;I alt;Gift/separeret;2017K3;København;143640
I alt;I alt;Gift/separeret;2017K4;København;145607
I alt;I alt;Gift/separeret;2018K1;København;145479
I alt;I alt;Gift/separeret;2018K2;København;145301
I alt;I alt;Gift/separeret;2018K3;København;146287
I alt;I alt;Gift/separeret;2018K4;København;148172
I alt;I alt;Gift/separeret;2019K1;København;147974
I alt;I alt;Gift/separeret;2019K2;København;147848
I alt;I alt;Gift/separeret;2019K3;København;148834
I alt;I alt;Gift/separeret;2019K4;København;150492
I alt;I alt;Gift/separeret;2020K1;København;150458
I alt;I alt;Gift/separeret;2020K2;København;149826
I alt;I alt;Gift/separeret;2020K3;København;149291
I alt;I alt;Gift/separeret;2020K4;København;150663
I alt;I alt;Gift/separeret;2021K1;København;150279
