KØN;OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
I alt;Hele landet;0 år;2020K4;Ugift;61381
I alt;Hele landet;1 år;2020K4;Ugift;61650
I alt;Hele landet;2 år;2020K4;Ugift;62532
I alt;Hele landet;3 år;2020K4;Ugift;61928
I alt;Hele landet;4 år;2020K4;Ugift;62597
I alt;Hele landet;5 år;2020K4;Ugift;59132
I alt;Hele landet;6 år;2020K4;Ugift;58528
I alt;Hele landet;7 år;2020K4;Ugift;59354
I alt;Hele landet;8 år;2020K4;Ugift;60586
I alt;Hele landet;9 år;2020K4;Ugift;63442
I alt;Hele landet;10 år;2020K4;Ugift;66642
I alt;Hele landet;11 år;2020K4;Ugift;66984
I alt;Hele landet;12 år;2020K4;Ugift;69063
I alt;Hele landet;13 år;2020K4;Ugift;67463
I alt;Hele landet;14 år;2020K4;Ugift;68501
I alt;Hele landet;15 år;2020K4;Ugift;68110
I alt;Hele landet;16 år;2020K4;Ugift;68059
I alt;Hele landet;17 år;2020K4;Ugift;67736
I alt;Hele landet;18 år;2020K4;Ugift;67886
I alt;Hele landet;19 år;2020K4;Ugift;70314
I alt;Hele landet;20 år;2020K4;Ugift;71873
I alt;Hele landet;21 år;2020K4;Ugift;72919
I alt;Hele landet;22 år;2020K4;Ugift;73281
I alt;Hele landet;23 år;2020K4;Ugift;76513
I alt;Hele landet;24 år;2020K4;Ugift;74894
I alt;Hele landet;25 år;2020K4;Ugift;76716
I alt;Hele landet;26 år;2020K4;Ugift;72077
I alt;Hele landet;27 år;2020K4;Ugift;68725
I alt;Hele landet;28 år;2020K4;Ugift;64341
I alt;Hele landet;29 år;2020K4;Ugift;58801
I alt;Hele landet;30 år;2020K4;Ugift;53898
I alt;Hele landet;31 år;2020K4;Ugift;48657
I alt;Hele landet;32 år;2020K4;Ugift;42918
I alt;Hele landet;33 år;2020K4;Ugift;38418
I alt;Hele landet;34 år;2020K4;Ugift;35288
I alt;Hele landet;35 år;2020K4;Ugift;32035
I alt;Hele landet;36 år;2020K4;Ugift;28768
I alt;Hele landet;37 år;2020K4;Ugift;26542
I alt;Hele landet;38 år;2020K4;Ugift;25126
I alt;Hele landet;39 år;2020K4;Ugift;23939
I alt;Hele landet;40 år;2020K4;Ugift;23638
I alt;Hele landet;41 år;2020K4;Ugift;22435
I alt;Hele landet;42 år;2020K4;Ugift;21848
I alt;Hele landet;43 år;2020K4;Ugift;20471
I alt;Hele landet;44 år;2020K4;Ugift;20984
I alt;Hele landet;45 år;2020K4;Ugift;21246
I alt;Hele landet;46 år;2020K4;Ugift;19926
I alt;Hele landet;47 år;2020K4;Ugift;19284
I alt;Hele landet;48 år;2020K4;Ugift;19343
I alt;Hele landet;49 år;2020K4;Ugift;18116
I alt;Hele landet;50 år;2020K4;Ugift;16711
I alt;Hele landet;51 år;2020K4;Ugift;16501
I alt;Hele landet;52 år;2020K4;Ugift;16584
I alt;Hele landet;53 år;2020K4;Ugift;17551
I alt;Hele landet;54 år;2020K4;Ugift;17493
I alt;Hele landet;55 år;2020K4;Ugift;16433
I alt;Hele landet;56 år;2020K4;Ugift;15761
I alt;Hele landet;57 år;2020K4;Ugift;14757
I alt;Hele landet;58 år;2020K4;Ugift;13577
I alt;Hele landet;59 år;2020K4;Ugift;12616
I alt;Hele landet;60 år;2020K4;Ugift;11951
I alt;Hele landet;61 år;2020K4;Ugift;11161
I alt;Hele landet;62 år;2020K4;Ugift;10690
I alt;Hele landet;63 år;2020K4;Ugift;10048
I alt;Hele landet;64 år;2020K4;Ugift;9495
I alt;Hele landet;65 år;2020K4;Ugift;8689
I alt;Hele landet;66 år;2020K4;Ugift;8074
I alt;Hele landet;67 år;2020K4;Ugift;7504
I alt;Hele landet;68 år;2020K4;Ugift;6670
I alt;Hele landet;69 år;2020K4;Ugift;5928
I alt;Hele landet;70 år;2020K4;Ugift;5457
I alt;Hele landet;71 år;2020K4;Ugift;4815
I alt;Hele landet;72 år;2020K4;Ugift;4407
I alt;Hele landet;73 år;2020K4;Ugift;4290
I alt;Hele landet;74 år;2020K4;Ugift;3913
I alt;Hele landet;75 år;2020K4;Ugift;3277
I alt;Hele landet;76 år;2020K4;Ugift;2859
I alt;Hele landet;77 år;2020K4;Ugift;2361
I alt;Hele landet;78 år;2020K4;Ugift;1973
I alt;Hele landet;79 år;2020K4;Ugift;1652
I alt;Hele landet;80 år;2020K4;Ugift;1509
I alt;Hele landet;81 år;2020K4;Ugift;1382
I alt;Hele landet;82 år;2020K4;Ugift;1216
I alt;Hele landet;83 år;2020K4;Ugift;1062
I alt;Hele landet;84 år;2020K4;Ugift;942
I alt;Hele landet;85 år;2020K4;Ugift;813
I alt;Hele landet;86 år;2020K4;Ugift;671
I alt;Hele landet;87 år;2020K4;Ugift;637
I alt;Hele landet;88 år;2020K4;Ugift;511
I alt;Hele landet;89 år;2020K4;Ugift;460
I alt;Hele landet;90 år;2020K4;Ugift;398
I alt;Hele landet;91 år;2020K4;Ugift;338
I alt;Hele landet;92 år;2020K4;Ugift;256
I alt;Hele landet;93 år;2020K4;Ugift;222
I alt;Hele landet;94 år;2020K4;Ugift;151
I alt;Hele landet;95 år;2020K4;Ugift;143
I alt;Hele landet;96 år;2020K4;Ugift;96
I alt;Hele landet;97 år;2020K4;Ugift;64
I alt;Hele landet;98 år;2020K4;Ugift;46
I alt;Hele landet;99 år;2020K4;Ugift;42
I alt;Hele landet;100 år;2020K4;Ugift;26
I alt;Hele landet;101 år;2020K4;Ugift;7
I alt;Hele landet;102 år;2020K4;Ugift;9
I alt;Hele landet;103 år;2020K4;Ugift;3
I alt;Hele landet;104 år;2020K4;Ugift;2
I alt;Hele landet;105 år;2020K4;Ugift;2
I alt;Hele landet;106 år;2020K4;Ugift;1
I alt;Hele landet;107 år;2020K4;Ugift;0
I alt;Hele landet;108 år;2020K4;Ugift;1
I alt;Hele landet;109 år;2020K4;Ugift;0
I alt;Hele landet;110 år;2020K4;Ugift;0
I alt;Hele landet;111 år;2020K4;Ugift;0
I alt;Hele landet;112 år;2020K4;Ugift;0
I alt;Hele landet;113 år;2020K4;Ugift;0
I alt;Hele landet;114 år;2020K4;Ugift;0
I alt;Hele landet;115 år;2020K4;Ugift;0
I alt;Hele landet;116 år;2020K4;Ugift;0
I alt;Hele landet;117 år;2020K4;Ugift;0
I alt;Hele landet;118 år;2020K4;Ugift;0
I alt;Hele landet;119 år;2020K4;Ugift;0
I alt;Hele landet;120 år;2020K4;Ugift;0
I alt;Hele landet;121 år;2020K4;Ugift;0
I alt;Hele landet;122 år;2020K4;Ugift;0
I alt;Hele landet;123 år;2020K4;Ugift;0
I alt;Hele landet;124 år;2020K4;Ugift;0
I alt;Hele landet;125 år;2020K4;Ugift;0
