TID;CIVILSTAND;OMRÅDE;ALDER;KØN;INDHOLD
2020K1;Ugift;København;I alt;I alt;412512
2020K1;Ugift;Frederiksberg;I alt;I alt;60781
2020K1;Ugift;Ballerup;I alt;I alt;22371
2020K1;Ugift;Brøndby;I alt;I alt;16245
2020K1;Ugift;Dragør;I alt;I alt;5844
2020K1;Ugift;Gentofte;I alt;I alt;35130
2020K1;Ugift;Gladsaxe;I alt;I alt;34731
2020K1;Ugift;Glostrup;I alt;I alt;11193
2020K1;Ugift;Herlev;I alt;I alt;13767
2020K1;Ugift;Albertslund;I alt;I alt;13795
2020K1;Ugift;Hvidovre;I alt;I alt;26533
2020K1;Ugift;Høje-Taastrup;I alt;I alt;23532
2020K1;Ugift;Lyngby-Taarbæk;I alt;I alt;27810
2020K1;Ugift;Rødovre;I alt;I alt;20055
2020K1;Ugift;Ishøj;I alt;I alt;10808
2020K1;Ugift;Tårnby;I alt;I alt;19947
2020K1;Ugift;Vallensbæk;I alt;I alt;7354
2020K1;Ugift;Furesø;I alt;I alt;17443
2020K1;Ugift;Allerød;I alt;I alt;10586
2020K1;Ugift;Fredensborg;I alt;I alt;17135
2020K1;Ugift;Helsingør;I alt;I alt;27077
2020K1;Ugift;Hillerød;I alt;I alt;23306
2020K1;Ugift;Hørsholm;I alt;I alt;9677
2020K1;Ugift;Rudersdal;I alt;I alt;24690
2020K1;Ugift;Egedal;I alt;I alt;18274
2020K1;Ugift;Frederikssund;I alt;I alt;18530
2020K1;Ugift;Greve;I alt;I alt;21016
2020K1;Ugift;Køge;I alt;I alt;27189
2020K1;Ugift;Halsnæs;I alt;I alt;12656
2020K1;Ugift;Roskilde;I alt;I alt;41111
2020K1;Ugift;Solrød;I alt;I alt;9955
2020K1;Ugift;Gribskov;I alt;I alt;15993
2020K1;Ugift;Odsherred;I alt;I alt;13011
2020K1;Ugift;Holbæk;I alt;I alt;32235
2020K1;Ugift;Faxe;I alt;I alt;15575
2020K1;Ugift;Kalundborg;I alt;I alt;21163
2020K1;Ugift;Ringsted;I alt;I alt;16052
2020K1;Ugift;Slagelse;I alt;I alt;37269
2020K1;Ugift;Stevns;I alt;I alt;9085
2020K1;Ugift;Sorø;I alt;I alt;13232
2020K1;Ugift;Lejre;I alt;I alt;11553
2020K1;Ugift;Lolland;I alt;I alt;17132
2020K1;Ugift;Næstved;I alt;I alt;38119
2020K1;Ugift;Guldborgsund;I alt;I alt;25908
2020K1;Ugift;Vordingborg;I alt;I alt;19110
2020K1;Ugift;Bornholm;I alt;I alt;15996
2020K1;Ugift;Middelfart;I alt;I alt;16533
2020K1;Ugift;Christiansø;I alt;I alt;31
2020K1;Ugift;Assens;I alt;I alt;17711
2020K1;Ugift;Faaborg-Midtfyn;I alt;I alt;22004
2020K1;Ugift;Kerteminde;I alt;I alt;9789
2020K1;Ugift;Nyborg;I alt;I alt;13803
2020K1;Ugift;Odense;I alt;I alt;112490
2020K1;Ugift;Svendborg;I alt;I alt;26178
2020K1;Ugift;Nordfyns;I alt;I alt;12701
2020K1;Ugift;Langeland;I alt;I alt;4583
2020K1;Ugift;Ærø;I alt;I alt;2174
2020K1;Ugift;Haderslev;I alt;I alt;24806
2020K1;Ugift;Billund;I alt;I alt;11719
2020K1;Ugift;Sønderborg;I alt;I alt;32107
2020K1;Ugift;Tønder;I alt;I alt;15874
2020K1;Ugift;Esbjerg;I alt;I alt;55014
2020K1;Ugift;Fanø;I alt;I alt;1258
2020K1;Ugift;Varde;I alt;I alt;21766
2020K1;Ugift;Vejen;I alt;I alt;19285
2020K1;Ugift;Aabenraa;I alt;I alt;25266
2020K1;Ugift;Fredericia;I alt;I alt;23719
2020K1;Ugift;Horsens;I alt;I alt;44353
2020K1;Ugift;Kolding;I alt;I alt;44898
2020K1;Ugift;Vejle;I alt;I alt;54448
2020K1;Ugift;Herning;I alt;I alt;41719
2020K1;Ugift;Holstebro;I alt;I alt;27357
2020K1;Ugift;Lemvig;I alt;I alt;7900
