OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;I alt;I alt;2008K1;5475791
Hele landet;I alt;0 år;2008K1;64412
Hele landet;I alt;1 år;2008K1;65722
Hele landet;I alt;2 år;2008K1;64993
Hele landet;I alt;3 år;2008K1;65216
Hele landet;I alt;4 år;2008K1;65263
Hele landet;I alt;5 år;2008K1;64711
Hele landet;I alt;6 år;2008K1;65825
Hele landet;I alt;7 år;2008K1;67681
Hele landet;I alt;8 år;2008K1;66939
Hele landet;I alt;9 år;2008K1;67283
Hele landet;I alt;10 år;2008K1;68827
Hele landet;I alt;11 år;2008K1;69292
Hele landet;I alt;12 år;2008K1;71777
Hele landet;I alt;13 år;2008K1;72141
Hele landet;I alt;14 år;2008K1;69835
Hele landet;I alt;15 år;2008K1;70522
Hele landet;I alt;16 år;2008K1;67595
Hele landet;I alt;17 år;2008K1;67450
Hele landet;I alt;18 år;2008K1;65339
Hele landet;I alt;19 år;2008K1;63357
Hele landet;I alt;20 år;2008K1;61689
Hele landet;I alt;21 år;2008K1;62081
Hele landet;I alt;22 år;2008K1;61318
Hele landet;I alt;23 år;2008K1;59737
Hele landet;I alt;24 år;2008K1;58972
Hele landet;I alt;25 år;2008K1;60617
Hele landet;I alt;26 år;2008K1;60601
Hele landet;I alt;27 år;2008K1;64382
Hele landet;I alt;28 år;2008K1;65919
Hele landet;I alt;29 år;2008K1;68204
Hele landet;I alt;30 år;2008K1;68066
Hele landet;I alt;31 år;2008K1;70760
Hele landet;I alt;32 år;2008K1;76900
Hele landet;I alt;33 år;2008K1;75885
Hele landet;I alt;34 år;2008K1;76068
Hele landet;I alt;35 år;2008K1;79420
Hele landet;I alt;36 år;2008K1;78600
Hele landet;I alt;37 år;2008K1;75431
Hele landet;I alt;38 år;2008K1;75316
Hele landet;I alt;39 år;2008K1;78116
Hele landet;I alt;40 år;2008K1;83635
Hele landet;I alt;41 år;2008K1;89878
Hele landet;I alt;42 år;2008K1;87017
Hele landet;I alt;43 år;2008K1;85083
Hele landet;I alt;44 år;2008K1;83309
Hele landet;I alt;45 år;2008K1;78774
Hele landet;I alt;46 år;2008K1;76660
Hele landet;I alt;47 år;2008K1;76638
Hele landet;I alt;48 år;2008K1;73555
Hele landet;I alt;49 år;2008K1;73655
Hele landet;I alt;50 år;2008K1;73213
Hele landet;I alt;51 år;2008K1;73675
Hele landet;I alt;52 år;2008K1;72650
Hele landet;I alt;53 år;2008K1;71052
Hele landet;I alt;54 år;2008K1;72167
Hele landet;I alt;55 år;2008K1;70561
Hele landet;I alt;56 år;2008K1;69241
Hele landet;I alt;57 år;2008K1;71094
Hele landet;I alt;58 år;2008K1;70490
Hele landet;I alt;59 år;2008K1;73850
Hele landet;I alt;60 år;2008K1;78115
Hele landet;I alt;61 år;2008K1;80273
Hele landet;I alt;62 år;2008K1;77011
Hele landet;I alt;63 år;2008K1;72603
Hele landet;I alt;64 år;2008K1;66289
Hele landet;I alt;65 år;2008K1;61857
Hele landet;I alt;66 år;2008K1;54527
Hele landet;I alt;67 år;2008K1;52433
Hele landet;I alt;68 år;2008K1;49364
Hele landet;I alt;69 år;2008K1;48297
Hele landet;I alt;70 år;2008K1;45771
Hele landet;I alt;71 år;2008K1;43301
Hele landet;I alt;72 år;2008K1;40495
Hele landet;I alt;73 år;2008K1;38580
Hele landet;I alt;74 år;2008K1;35880
Hele landet;I alt;75 år;2008K1;34546
Hele landet;I alt;76 år;2008K1;32755
Hele landet;I alt;77 år;2008K1;31499
Hele landet;I alt;78 år;2008K1;29739
Hele landet;I alt;79 år;2008K1;28957
Hele landet;I alt;80 år;2008K1;26518
Hele landet;I alt;81 år;2008K1;25507
Hele landet;I alt;82 år;2008K1;23820
Hele landet;I alt;83 år;2008K1;22287
Hele landet;I alt;84 år;2008K1;20064
Hele landet;I alt;85 år;2008K1;17654
Hele landet;I alt;86 år;2008K1;16871
Hele landet;I alt;87 år;2008K1;15026
Hele landet;I alt;88 år;2008K1;11375
Hele landet;I alt;89 år;2008K1;10038
Hele landet;I alt;90 år;2008K1;8117
Hele landet;I alt;91 år;2008K1;6863
Hele landet;I alt;92 år;2008K1;5322
Hele landet;I alt;93 år;2008K1;4478
Hele landet;I alt;94 år;2008K1;3337
Hele landet;I alt;95 år;2008K1;2563
Hele landet;I alt;96 år;2008K1;1774
Hele landet;I alt;97 år;2008K1;1312
Hele landet;I alt;98 år;2008K1;840
Hele landet;I alt;99 år;2008K1;543
Hele landet;I alt;100 år;2008K1;288
Hele landet;I alt;101 år;2008K1;193
Hele landet;I alt;102 år;2008K1;121
Hele landet;I alt;103 år;2008K1;64
Hele landet;I alt;104 år;2008K1;35
Hele landet;I alt;105 år;2008K1;19
Hele landet;I alt;106 år;2008K1;10
Hele landet;I alt;107 år;2008K1;0
Hele landet;I alt;108 år;2008K1;1
Hele landet;I alt;109 år;2008K1;0
Hele landet;I alt;110 år;2008K1;0
Hele landet;I alt;111 år;2008K1;0
